x,y,dx,dy,dx_1,dy_1,dx_2,dy_2,dx_3,dy_3,dx_4,dy_4,dx_5,dy_5,dx_6,dy_6,dx_7,dy_7,dx_8,dy_8,dx_9,dy_9,dx_10,dy_10,dx_true,dy_true
615.0,402.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,-1.0,1.0,0.0,1.0,-1.0,2.0,0.0,1.0,-2.0,2.0,-1.0,1.0,-1.0,1.0,0.0,0.0
615.0,404.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,-1.0,1.0,0.0,1.0,-1.0,2.0,0.0,1.0,-2.0,2.0,-1.0,1.0,0.0,0.0
615.0,405.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,-1.0,1.0,0.0,1.0,-1.0,2.0,0.0,1.0,-2.0,2.0,0.0,0.0
615.0,406.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,-1.0,1.0,0.0,1.0,-1.0,2.0,0.0,1.0,0.0,0.0
615.0,407.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,-1.0,1.0,0.0,1.0,-1.0,2.0,0.0,0.0
615.0,408.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,-1.0,1.0,0.0,1.0,0.0,0.0
615.0,409.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,-1.0,1.0,0.0,0.0
615.0,409.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0
615.0,409.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0
615.0,409.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,74.77568998561603,28.435825769177924
616.0,410.0,1.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,74.80281873255461,28.364384528217357
617.0,409.0,1.0,-1.0,1.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,74.74227039612744,28.523551953292447
